foodname,foodcategory,city,materials,description,hazirlama_suresi_dk,pisirme_suresi_dk,toplam_sure_dk,porsiyon_sayisi,zorluk,vejetaryen,vegan,etiketler,gluten,pisirme_yontemi
panettone,İtalyan Mutfağı – Tatlı,Milan,"un,şeker,yumurta,kuru meyveler,tereyağı","Meyveli mayalı hamur yoğrulur ve uzun süre mayalanmaya bırakılır. Hamur yüksek fırında pişirilir, dilimlenerek soğutulur. Hafif nemli dokusu ve meyve parçaları ile tatlı bir lezzet sunar. Çay veya kahve ile servis edilir.",19,25,44,4.0,Orta,Evet,Hayır,"orta, vejetaryen, tatlı",Glütenli,Fırın
quiche lorraine,Fransız Mutfağı,Lorraine,"hamur,yumurta,krema,bacon,peynir","Hazırlanmış hamur kalıbı, ince dilimlenmiş bacon ile kaplanır. Üzerine çırpılmış yumurta, krema ve rendelenmiş peynir dökülür. Fırında altın rengini alana kadar pişirilir. Ilık veya soğuk olarak dilimlenip servis edilir.",34,20,54,6.0,Orta,Evet,Hayır,"orta, kalabalık aileye uygun, vejetaryen",Glütenli,Fırın
ratatouille,Fransız Mutfağı – Sebze Yemeği,Nice,"patlıcan,kabak,biber,domates,soğan,sarımsak,otlar","Patlıcan, kabak, biber, domates, soğan ve sarımsak büyük parçalar halinde doğranır. Zeytinyağında kısık ateşte uzun süre pişirilir. Taze otlar ve baharatlar eklenir. Sebzelerin doğal lezzetleri ön plana çıkarılarak sıcak servis edilir.",21,20,41,6.0,Zor,Evet,Evet,"zor, kalabalık aileye uygun, vegan",Glütensiz,Tencere
coq au vin,Fransız Mutfağı,Burgundy,"tavuk,kırmızı şarap,mantar,soğanlar,bacon,sarımsak","Tavuk parçaları, kırmızı şarap ve et suyunda uzun süre kısık ateşte pişirilir. Soğan, havuç, mantar ve sarımsak eklenir. Etler iyice yumuşayınca, taze otlarla süslenir. Sıcak olarak servis edilir.",24,20,44,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun",Glütensiz,Tencere
bouillabaisse,Fransız Mutfağı – Deniz Ürünleri,Marseille,"balık,kabuklu deniz ürünleri,domates,safran,rezene,sarımsak","Farklı deniz ürünleri, domates, safran, rezene ve sarımsakla birlikte büyük bir tencerede kaynatılır. Özellikle deniz ürünlerinin pişme süreleri dikkatle ayarlanır. Zengin aromalı sos, deniz ürünleri ile harmanlanır. Sıcak ve bol baharatlı olarak servis edilir.",27,20,47,6.0,Zor,Hayır,Hayır,"zor, kalabalık aileye uygun",Glütensiz,Tencere
crêpes,Fransız Mutfağı,Brittany,"un,süt,yumurta,tereyağı,şeker","Un, süt, yumurta ve eritilmiş tereyağı karıştırılarak ince bir hamur elde edilir. İnce tabaka halinde tavada her iki yüzü de kısa sürede pişirilir. İsteğe bağlı tatlı veya tuzlu harç eklenir. Hafif ve narin olarak servis edilir.",25,20,45,4.0,Orta,Evet,Hayır,"orta, vejetaryen",Glütenli,Tava
croissant,Fransız Mutfağı,Paris,"un,tereyağı,maya,şeker,tuz","Mayalı hamur incecik açılır ve kat kat tereyağı eklenir. Katlar oluşturularak sarılır, önceden ısıtılmış fırında altın rengini alana kadar pişirilir. Çıtır dış yüzeyi ve yumuşak iç dokusu ile servis edilir. Kahvaltıda ideal bir seçenek sunar.",26,20,46,4.0,Orta,Evet,Hayır,"orta, vejetaryen",Glütenli,Fırın
steak frites,Fransız Mutfağı,Paris,"biftek,patates kızartması,tuz,karabiber","Kalın kesilmiş steak, yüksek ısıda ızgarada veya tavada pişirilir. Yanında ince kesilmiş patatesler kızartılır. Et, tuz ve karabiberle tatlandırılır. Sıcak olarak yanında mayonez veya sos ile servis edilir.",18,20,38,6.0,Orta,Evet,Evet,"orta, kalabalık aileye uygun, vegan",Glütensiz,Tava
soupe à l'oignon,Fransız Mutfağı,Paris,"soğan,et suyu,krutonlar,gruyere peyniri","Soğanlar ince dilimlenip, tereyağında karamelize edilir. Karamelize soğanlar, et suyu ile birleştirilip kaynatılır. Üzerine kruton ve rendelenmiş gruyere peyniri eklenir, fırında hafifçe kızartılır. Sıcak olarak servis edilir.",33,20,53,4.0,Orta,Hayır,Hayır,orta,Glütensiz,Fırın
tarte tatin,Fransız Mutfağı – Tatlı,Lamotte-Beuvron,"elma,milföy hamuru,tereyağı,şeker","Elmalar dilimlenip tereyağı ve şekerle birlikte karamelize edilir. Karamelize elmalar, milföy hamurunun üzerine yerleştirilir. Ters çevrilerek fırında pişirilir. Soğuduktan sonra dilimlenip servis edilir.",32,25,57,4.0,Orta,Evet,Hayır,"orta, vejetaryen, tatlı",Glütenli,Fırın
cassoulet,Fransız Mutfağı,Toulouse,"beyaz fasulye,ördek,sosis,domuz eti","Beyaz fasulye, ördek, sosis ve domuz eti uzun süre kısık ateşte pişirilir. Tüm malzemeler derin bir tencerede birleştirilir. Sos ve etler iyice karışıp yumuşayana kadar pişirilir. Yoğun ve doyurucu olarak servis edilir.",32,20,52,4.0,Orta,Hayır,Hayır,orta,Glütensiz,Tencere
nicoise salad,Fransız Mutfağı – Salata,Nice,"ton balığı,yeşil fasulye,zeytin,patates,yumurta,ançuez","Haşlanmış patates, yeşil fasulye ve yumurta dilimlenir. Ton balığı ve ançuez eklenir, zeytinyağı ve limon sosuyla karıştırılır. Zengin ve taze bir salata elde edilir. Soğuk olarak servis edilir.",9,0,9,4.0,Kolay,Evet,Hayır,"hızlı, kolay, vejetaryen, salata",Glütensiz,Tencere
beef bourguignon,Fransız Mutfağı,Burgundy,"dana eti,kırmızı şarap,mantarlar,havuçlar,soğanlar,sarımsak","Dana eti, kırmızı şarap ve et suyunda uzun süre kısık ateşte pişirilir. Soğan, havuç, mantar ve sarımsak eklenir. Etler iyice yumuşayınca, yoğun bir sos elde edilir. Sıcak olarak pilav veya ekmekle servis edilir.",24,20,44,4.0,Orta,Hayır,Hayır,orta,Glütensiz,Tencere
sole meunière,Fransız Mutfağı,Paris,"sole balığı,un,tereyağı,limon,maydanoz","Sole balığı önceden unlanır ve tereyağında kızartılır. Kızarmış balık, limon suyu ve maydanozla tatlandırılır. Hızlıca servis edilmek üzere sıcak tutulur. Yanında hafif garnitürlerle sunulur.",19,20,39,4.0,Zor,Evet,Hayır,"zor, vejetaryen",Glütenli,Tava
duck confit,Fransız Mutfağı,Gascony,"ördek,tuz,sarımsak,kekik,ördek yağı","Önceden tuz, sarımsak ve kekik ile marine edilen ördek butları, kendi yağıyla düşük ısıda yavaşça pişirilir. Et yumuşadığında dışı çıtırlaşır. Yağı ile birlikte servis edilmek üzere dinlendirilir. Geleneksel Fransız tarzında sunulur.",22,20,42,4.0,Orta,Evet,Evet,"orta, vegan",Glütensiz,Tencere
paella,İspanyol Mutfağı,Valencia,"pirinç,safran,tavuk,deniz ürünleri,sebzeler","Safranla renklendirilmiş pirinç, tavuk, deniz ürünleri ve sebzeler geniş bir tava veya paellera konur. Yüksek ateşte, pirinç suyu çekene kadar pişirilir. Malzemeler dengeli şekilde karışır. Sıcak olarak, limon dilimleri eşliğinde servis edilir.",32,20,52,4.0,Orta,Hayır,Hayır,orta,Glütensiz,Tencere
gazpacho,İspanyol Mutfağı – Çorba,Andalusia,"domates,salatalık,biber,sarımsak,zeytinyağı,sirke","Domates, salatalık, biber ve sarımsak blendırda püre haline getirilir. Zeytinyağı, sirke ve tuz eklenir. Soğuk olarak iyice karıştırılır. Ferahlatıcı ve serinletici çorba olarak servis edilir.",16,15,31,4.0,Orta,Evet,Evet,"orta, vegan, çorba",Glütensiz,Tencere
tortilla española,İspanyol Mutfağı,Madrid,"yumurta,patates,soğan,zeytinyağı","Patates ve soğan ince dilimlenip zeytinyağında yumuşayıncaya kadar pişirilir. Yumurtalar çırpılır, pişmiş sebzelerle karıştırılır. Karışım tavada pişirilip kalın bir omlet kıvamı alır. Dilimlenip sıcak veya oda sıcaklığında servis edilir.",25,20,45,6.0,Orta,Evet,Hayır,"orta, kalabalık aileye uygun, vejetaryen",Glütensiz,Tava
croquetas,İspanyol Mutfağı,Madrid,"beşamel sos,jambon,peynir,galeta unu","Beşamel soslu harç hazırlanır, içine doğranmış jambon ve peynir eklenir. Küçük toplar haline getirilir ve önce una, sonra çırpılmış yumurtaya ve en son ekmek kırıntısına bulandırılır. Kızgın yağda altın rengini alana kadar kızartılır. Sıcak olarak meze şeklinde servis edilir.",34,20,54,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun",Glütenli,Tava
churros,İspanyol Mutfağı – Tatlı,Madrid,"un,su,tuz,şeker,yağ","Hamur, un, su, tuz ve şeker karışımından hazırlanır. Uzun şeritler halinde sıkılır ve kızgın yağda çıtır çıtır kızartılır. Üzerine ek şeker serpilir. Sıcak olarak çikolata sosu eşliğinde servis edilir.",33,25,58,4.0,Orta,Evet,Evet,"orta, vegan, tatlı",Glütenli,Fırın
empanadas,İspanyol Mutfağı,Buenos Aires,"hamur,sığır eti,soğan,zeytin,baharatlar","Hamur yoğrulur, açılır ve içine baharatlı sote edilmiş kıyma, soğan ve zeytin eklenir. Hamur yarım ay şeklinde kapatılır. Önceden ısıtılmış fırında veya yağda kızartılarak pişirilir. Sıcak olarak atıştırmalık şeklinde servis edilir.",30,20,50,4.0,Orta,Hayır,Hayır,orta,Glütenli,Fırın
fabada asturiana,İspanyol Mutfağı,Asturias,"beyaz fasulye,chorizo,morcilla,bacon","Beyaz fasulyeler, chorizo, morcilla ve bacon uzun süre kısık ateşte pişirilir. Malzemeler birbirine karışarak yoğun bir güveç oluşturur. Baharatlarla tatlandırılır. Sıcak olarak servis edilir.",20,20,40,6.0,Orta,Evet,Evet,"orta, kalabalık aileye uygun, vegan",Glütensiz,Tencere
pisto,İspanyol Mutfağı,Toledo,"domates,kabak,patlıcan,biber,soğan,sarımsak","Domates, kabak, patlıcan, biber, soğan ve sarımsak küçük küpler halinde doğranır. Zeytinyağında kavrulur ve domatesle iyice pişirilir. Sebzeler yumuşayıp sos kıvamına geldiğinde ocaktan alınır. Ilık olarak, ekmekle birlikte servis edilir.",25,20,45,6.0,Orta,Evet,Evet,"orta, kalabalık aileye uygun, vegan",Glütensiz,Tencere
sangria,İspanyol Mutfağı – İçecek,Madrid,"kırmızı şarap,meyveler,brendi,soda suyu","Kırmızı şarap, dilimlenmiş taze meyveler ve brendi karıştırılır. Üzerine soda suyu eklenir ve iyice soğutulur. Buz eklenerek servis edilir. Ferahlatıcı içecek olarak sunulur.",19,20,39,6.0,Orta,Evet,Evet,"orta, kalabalık aileye uygun, vegan",Glütensiz,Tencere
ceviche,Peruvian Mutfağı,Lima,"balık,misket limonu,soğan,acı biber,kişniş","Taze balık küpler halinde kesilir ve bolca limon suyunda marine edilir. İnce dilimlenmiş soğan, doğranmış chili ve kişniş eklenir. Karışım soğuk olarak birkaç dakika bekletilir. Ferahlatıcı bir deniz mahsulü olarak servis edilir.",28,20,48,4.0,Zor,Hayır,Hayır,zor,Glütensiz,Tencere
lomo saltado,Peruvian Mutfağı,Lima,"sığır eti,domates,soğanlar,kızarmış patates,soya sosu","İnce dilimlenmiş sığır eti, domates ve soğan yüksek ateşte hızlıca sotelenir. Üzerine kızarmış patates kızartması eklenir. Soya sosu ile tatlandırılarak karıştırılır. Sıcak olarak pirinçle birlikte servis edilir.",23,20,43,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun",Glütensiz,Tava
aji de gallina,Peruvian Mutfağı,Lima,"tavuk,krema,ceviz,acı biber,ekmek","Haşlanmış tavuk didiklenir ve ceviz, chili ve ekmek içi ile karıştırılır. Kremsi bir sos elde edilene kadar pişirilir. Baharatlarla tatlandırılır. Sıcak olarak pilav veya ekmekle servis edilir.",33,20,53,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun",Glütenli,Tencere
anticuchos,Peruvian Mutfağı,Lima,"sığır kalbi,sirke,sarımsak,baharatlar","Et kalbi, sirke, sarımsak ve baharatlarla marine edilir. Şişlere dizilip mangalda yüksek ateşte pişirilir. Dış kısmı hafif kızarıp içi yumuşak kalır. Yanında sosla sıcak olarak servis edilir.",28,20,48,4.0,Orta,Evet,Evet,"orta, vegan",Glütensiz,Tencere
pisco sour,Peruvian Mutfağı – İçecek,Lima,"pisco,misket limonu,yumurta akı,bitters,şeker","Pisco, taze lime suyu, yumurta akı ve şeker buzla karıştırılır. Karışım pürüzsüz bir kıvam alır. Birkaç damla bitters eklenir. Soğuk olarak kokteyl bardağında servis edilir.",25,20,45,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun",Glütensiz,Tencere
feijoada,Brezilya Mutfağı,Rio de Janeiro,"siyah fasulye,domuz eti,sığır eti,sosis,sarımsak","Siyah fasulye, çeşitli domuz eti, sosis ve sığır eti uzun süre kaynatılır. Tüm malzemeler bir araya getirilip yoğun bir güveç haline gelir. Baharatlarla tatlandırılır. Sıcak olarak pirinçle birlikte servis edilir.",34,20,54,4.0,Orta,Hayır,Hayır,orta,Glütensiz,Tencere
moqueca,Brezilya Mutfağı,Bahia,"balık,hindistancevizi sütü,domates,biber,kişniş","Balık ve deniz ürünleri, hindistancevizi sütü, domates ve biber ile birlikte kısık ateşte pişirilir. Malzemeler yavaşça birbirine karışır. Taze kişniş ile süslenir. Sıcak olarak geleneksel Brezilya usulü servis edilir.",30,20,50,4.0,Orta,Hayır,Hayır,orta,Glütensiz,Tencere
churrasco,Brezilya Mutfağı,Rio de Janeiro,"sığır eti,tuz,sarımsak","Kalın kesilmiş sığır eti, tuz ve ezilmiş sarımsak ile marine edilir. Izgarada yüksek ateşte hızlıca pişirilir. Dış kısmı kızarırken içi sulu kalır. Dilimlenip sıcak olarak servis edilir.",15,20,35,4.0,Orta,Hayır,Hayır,"orta, az malzemeli",Glütensiz,Tencere
coxinha,Brezilya Mutfağı – Sokak Lezzeti,São Paulo,"tavuk,hamur,krem peynir,galeta unu","Tavuk eti haşlanıp didiklenir, krem peynirle karıştırılır. Hamur hazırlanır, tavuk karışımı içine konur. Küçük koni şeklinde kapatılır, ekmek kırıntısına bulandıktan sonra kızgın yağda kızartılır. Sıcak olarak atıştırmalık şeklinde servis edilir.",22,20,42,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun",Glütenli,Tava
brigadeiro,Brezilya Mutfağı – Tatlı,Brazil,"kondens süt,kakao tozu,tereyağı,çikolata serpiştirmesi","Kondens sütü, kakao ve tereyağı kısık ateşte sürekli karıştırılarak yoğunlaştırılır. Karışım küçük toplar haline getirilir. Toplar, çikolata serpiştirilerek süslenir. Oda sıcaklığında tatlı olarak servis edilir.",30,25,55,4.0,Orta,Evet,Hayır,"orta, vejetaryen, tatlı",Glütensiz,Fırın
quinoa salad,Sağlıklı Yemek,Global,"kinoa,sebzeler,limon sosu","Pişmiş kinoa, doğranmış taze sebzeler ile karıştırılır. Limon suyu, zeytinyağı ve tuzdan oluşan sos eklenir. Tüm malzemeler iyice harmanlanır. Ferahlatıcı ve besleyici salata olarak servis edilir.",23,20,43,6.0,Orta,Evet,Evet,"orta, kalabalık aileye uygun, vegan, az malzemeli",Glütensiz,Tencere
hummus,Orta Doğu Mutfağı,Beirut,"nohut,tahin,sarımsak,limon,zeytinyağı","Haşlanmış nohut, tahin, sarımsak ve limon suyu blendırda püre haline getirilir. Zeytinyağı eklenir ve iyice karıştırılır. Kıvam ayarı yapılır. Soğuk olarak meze şeklinde servis edilir.",29,20,49,4.0,Zor,Evet,Evet,"zor, vegan",Glütensiz,Tencere
shakshuka,Orta Doğu Mutfağı,Tel Aviv,"domates,yumurta,biber,soğan,sarımsak,baharatlar","Domates, biber, soğan ve sarımsak zeytinyağında kavrulur. Baharatlar eklenir ve sos kıvamına gelene kadar pişirilir. Yumurtalar sosun içine kırılır ve hafifçe pişirilir. Sıcak olarak ekmekle servis edilir.",22,20,42,4.0,Orta,Evet,Hayır,"orta, vejetaryen",Glütensiz,Tencere
baba ganoush,Orta Doğu Mutfağı,Beirut,"patlıcan,tahin,sarımsak,limon,zeytinyağı","Patlıcan közde veya fırında pişirilip kabuğu soyulur. İç kısmı ezilerek tahin, sarımsak ve limon suyu ile karıştırılır. Zeytinyağı eklenir ve pürüzsüz hale getirilir. Soğuk olarak meze şeklinde servis edilir.",34,20,54,6.0,Orta,Evet,Evet,"orta, kalabalık aileye uygun, vegan",Glütensiz,Fırın
fattoush,Orta Doğu Mutfağı – Salata,Beirut,"karışık yeşillikler,domates,salatalık,kızarmış pita ekmekleri,sumak","Karışık yeşillikler, doğranmış domates ve salatalık hazırlanır. Kızarmış pita ekmekleri ufalanır. Tüm malzemeler zeytinyağı, limon suyu ve sumak ile karıştırılır. Taze olarak servis edilir.",10,0,10,4.0,Kolay,Evet,Evet,"hızlı, kolay, vegan, salata",Glütenli,Tencere
mansaf,Orta Doğu Mutfağı,Amman,"kuzu eti, yoğurt sosu, pirinç, badem","Kuzu eti, baharatlarla marine edilip uzun süre yavaşça pişirilir. Yoğurt sosu hazırlanır ve et üzerine dökülür. Pilavla birlikte badem serpilerek servis edilir. Geleneksel Orta Doğu yemeği olarak sunulur.",16,20,36,4.0,Orta,Hayır,Hayır,orta,Glütensiz,Tencere
tagine,Fas Mutfağı,Marrakech,"et (kuzu/tavuk), kurutulmuş meyveler, baharatlar, sebzeler","Et ve sebzeler, baharatlı bir sos içinde geleneksel tagine kabında yavaşça pişirilir. Kurutulmuş meyveler eklenir. Sos ve etin iyice bütünleşmesi sağlanır. Sıcak olarak kuskus veya ekmek ile servis edilir.",19,20,39,4.0,Orta,Hayır,Hayır,orta,Glütensiz,Tencere
couscous,Fas Mutfağı,Marrakech,"irmik, sebzeler, et, baharatlar","İnce irmik, sıcak su ile buharda pişirilir. Sebzeler ve et, baharatlarla sotelenir. Pişmiş kuskus ile karıştırılır. Taze otlar eklenip sıcak olarak servis edilir.",23,20,43,6.0,Zor,Hayır,Hayır,"zor, kalabalık aileye uygun",Glütenli,Tava
harira,Fas Mutfağı,Rabat,"domatesler, mercimek, nohut, et, baharatlar","Domates, mercimek, nohut ve et kemikleri büyük tencerede birleştirilir. Baharatlarla tatlandırılır ve uzun süre kaynatılır. Sos yoğunlaşınca sıcak olarak servis edilir. Özellikle Ramazan ayında tercih edilir.",27,20,47,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun",Glütensiz,Tencere
pastilla,Fas Mutfağı,Fez,"yufka, güvercin (veya tavuk), badem, baharatlar","İnce yufkalar, et veya güvercin eti, badem ve baharat karışımı ile katmanlanır. Tatlı ve tuzlu unsurlar dengelenir. Fırında hafifçe kızarana kadar pişirilir. Toz şeker ve tarçınla süslenip servis edilir.",17,20,37,4.0,Zor,Hayır,Hayır,zor,Glütenli,Fırın
biryani,Hint Mutfağı,Hyderabad,"basmati pirinci, et, baharatlar, yoğurt","Basmati pirinci, baharatlı et ve yoğurt ile kat kat pişirilir. Önceden marine edilmiş et, pirincin içine karıştırılır. Düşük ateşte demlendirilir. Zengin aromalı bir pilav olarak servis edilir.",18,20,38,4.0,Orta,Hayır,Hayır,orta,Glütensiz,Tencere
butter chicken,Hint Mutfağı,Delhi,"tavuk, domates, krema, baharatlar, tereyağı","Tavuk, yoğurt ve baharatlarla marine edilir, ardından domates ve krema ile birlikte ağır ateşte pişirilir. Tereyağı ile zenginleştirilir. Sosu koyu ve kremamsı olur. Sıcak olarak naan ekmeğiyle servis edilir.",17,20,37,6.0,Zor,Hayır,Hayır,"zor, kalabalık aileye uygun",Glütensiz,Tencere
palak paneer,Hint Mutfağı,Punjab,"ıspanak, peynir, sarımsak, zencefil, krema","Ispanak haşlanıp püre haline getirilir. Paneer küp olarak kızartılır. Ispanak püresi, sarımsak, zencefil ve krema ile karıştırılır. Baharatlarla tatlandırılıp sıcak servis edilir.",30,20,50,6.0,Orta,Evet,Hayır,"orta, kalabalık aileye uygun, vejetaryen",Glütensiz,Tava
rogan josh,Hint Mutfağı,Kashmir,"kuzu eti, yoğurt, baharatlar, sarımsak, zencefil","Kuzu eti, yoğurt ve baharatlarla marine edilir. Et, tencerede uzun süre ağır ateşte pişirilir. Sarımsak ve zencefil aroması yoğunlaşır. Geleneksel şekilde pilav veya ekmekle servis edilir.",18,20,38,4.0,Orta,Hayır,Hayır,orta,Glütensiz,Tencere
samosa,Hint Mutfağı – Sokak Lezzeti,Mumbai,"un, patates, bezelye, baharatlar, yağ","Hamur ince açılır, içine haşlanmış patates, bezelye ve baharat karışımı konur. Üçgen şeklinde katlanıp mühürlenir. Kızgın yağda çıtır çıtır kızartılır. Sıcak olarak chutney eşliğinde servis edilir.",25,20,45,4.0,Orta,Evet,Evet,"orta, vegan",Glütenli,Tava
chole bhature,Hint Mutfağı – Sokak Lezzeti,Delhi,"nohut, un, baharatlar, yoğurt","Baharatlı nohut yahnisi hazırlanır, haşlanır ve püre haline getirilir. Mayalı hamur, incecik açılır ve kızgın yağda kızartılır. Nohut yahnisi ile birlikte sıcak servis edilir. Sokak lezzeti olarak popülerdir.",30,20,50,4.0,Zor,Evet,Hayır,"zor, vejetaryen",Glütenli,Tencere
dosa,Hint Mutfağı,Chennai,"pirinç, mercimek, baharatlar","Fermente pirinç ve mercimek karışımı ince bir hamur oluşturur. Tavada ince krepler şeklinde yayılır ve altın rengi olana kadar pişirilir. İnce ve çıtır dosa, çeşitli dolgu malzemeleriyle servis edilir. Geleneksel Güney Hindistan kahvaltısıdır.",25,20,45,6.0,Orta,Evet,Evet,"orta, kalabalık aileye uygun, vegan, az malzemeli",Glütensiz,Tava
idli,Hint Mutfağı,Chennai,"pirinç, mercimek, fermantasyon","Pirinç ve mercimek, uzun süre fermente edilerek hamur haline getirilir. Buharda pişirilip yumuşak ve süngerimsi idli elde edilir. Hafif ve besleyici olan idli, genellikle chutney ve sambar ile servis edilir. Geleneksel Güney Hindistan kahvaltısıdır.",34,20,54,4.0,Orta,Evet,Evet,"orta, vegan, az malzemeli",Glütensiz,Tencere
vada pav,Hint Mutfağı – Sokak Lezzeti,Mumbai,"patates köftesi, ekmek çöreği, çutney, baharatlar","Baharatlı patates köftesi hazırlanır, kızgın yağda kızartılır. Ekmeğin arasına yerleştirilir ve yeşil çutney ile tatlandırılır. Hızlıca elden geçirilip sokak lezzeti olarak sunulur. Mumbai’nin popüler atıştırmalığıdır.",16,20,36,6.0,Zor,Hayır,Hayır,"zor, kalabalık aileye uygun",Glütenli,Tava
pani puri,Hint Mutfağı – Sokak Lezzeti,Mumbai,"irmik, patates, nohut, hindi ekşisi suyu","Küçük çıtır hamur topları hazırlanır, içine haşlanmış patates ve nohut doldurulur. Üzerine hindi ekşisi suyu dökülür. Servis öncesi biraz bekletilip lezzetlerin karışması sağlanır. Hızlıca tüketilerek atıştırmalık olarak sunulur.",25,20,45,4.0,Orta,Evet,Evet,"orta, vegan",Glütenli,Tencere
gulab jamun,Hint Mutfağı – Tatlı,Lucknow,"süt katıları, şerbet, kakule","Süt tozu ve irmik karışımından küçük toplar yapılır, kızgın yağda altın rengini alana kadar kızartılır. Ardından, hafif ılık şerbetin içine batırılır. Şerbeti iyice çekene kadar bekletilir. Tatlı olarak soğuk veya ılık servis edilir.",23,25,48,4.0,Orta,Hayır,Hayır,"orta, tatlı, az malzemeli",Glütensiz,Fırın
jalebi,Hint Mutfağı – Tatlı,Delhi,"un, yoğurt, şerbet, safran","Mayalı hamur, kıvrılarak uzun şeritler halinde sıkılır. Kızgın yağda kızartılır, ardından sıcak şerbetin içine batırılır. Şerbeti çekip parlak bir yüzey kazandıktan sonra servis edilir. Tatlı, sıcak veya oda sıcaklığında sunulur.",30,25,55,4.0,Orta,Hayır,Hayır,"orta, tatlı",Glütenli,Fırın
bakso,Endonezya Mutfağı,Jakarta,"et topları, erişte, et suyu, sebzeler","Et topları hazırlanır ve haşlanmak üzere kaynar suya atılır. Noodle ve sebzelerle birlikte yoğun bir çorba oluşturulur. Baharatlarla tatlandırılır, tüm malzemeler karıştırılır. Sıcak çorba olarak servis edilir.",24,20,44,4.0,Zor,Hayır,Hayır,zor,Glütenli,Tencere
nasi goreng,Endonezya Mutfağı,Jakarta,"pirinç, yumurta, sebzeler, tavuk, tatlı soya sosu","Haşlanmış pirinç, tavada yumurta, sebze ve tavuk ile yüksek ateşte hızlıca kızartılır. Tatlı soya sosu ile tatlandırılır. Tüm malzemeler iyice harmanlanır. Sıcak olarak, garnitürlerle servis edilir.",19,20,39,6.0,Zor,Hayır,Hayır,"zor, kalabalık aileye uygun",Glütensiz,Tava
satay,Endonezya Mutfağı,Jakarta,"et, yer fıstığı sosu, baharatlar",Marine edilmiş et şişlere dizilir ve mangalda pişirilir. Yanında yer fıstığı sosu ile servis edilir. Etin dışı kızarıp içi yumuşak kalır. Sokak lezzeti olarak sunulur.,25,20,45,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun, az malzemeli",Glütensiz,Tencere
gado-gado,Endonezya Mutfağı,Jakarta,"sebzeler, yer fıstığı sosu, tofu, tempeh","Haşlanmış sebzeler, tofu ve tempeh, zengin yer fıstığı sosuyla karıştırılır. Malzemeler iyice harmanlanır. Soğuk veya oda sıcaklığında meze olarak servis edilir. Taze yeşilliklerle süslenir.",21,20,41,4.0,Zor,Evet,Evet,"zor, vegan",Glütensiz,Tencere
rendang,Endonezya Mutfağı,Padang,"sığır eti, hindistancevizi sütü, baharatlar","Sığır eti, hindistancevizi sütü ve baharatlarla uzun süre kısık ateşte pişirilir. Et iyice yumuşadığında yoğun bir sos oluşur. Karışım geleneksel yöntemle demlenir. Sıcak olarak pilav ile servis edilir.",18,20,38,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun, az malzemeli",Glütensiz,Tencere
pho,Vietnam Mutfağı,Hanoi,"et suyu, pirinç erişteleri, taze otlar, sığır eti","Yoğun et suyu, baharatlar ve kemiklerle uzun süre kaynatılır. Pirinç erişteleri haşlanır, taze otlar ve ince dilimlenmiş sığır eti eklenir. Tüm malzemeler çabukca servis edilir. Sıcak olarak, yanında lime ile sunulur.",24,20,44,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun",Glütenli,Tencere
bánh mì,Vietnam Mutfağı,Saigon,"baget ekmeği, turşu sebzeler, domuz eti, pate, kişniş","Taze baget ekmeği, marine edilmiş domuz eti ve pate ile doldurulur. Turşu sebzeler eklenir, taze kişnişle süslenir. Ekmek çıtır dış yüzeye sahip olacak şekilde servis edilir. Hızlı bir sandviç alternatifi sunar.",25,20,45,6.0,Orta,Hayır,Hayır,"orta, kalabalık aileye uygun",Glütensiz,Tencere
bun cha,Vietnam Mutfağı,Hanoi,"ızgara domuz eti, erişte, taze otlar, balık sosu","Izgara domuz eti, haşlanmış pirinç erişteleri ve taze otlar ile servis edilir. Balık sosu ile tatlandırılır. Tüm malzemeler hızlıca karıştırılır. Sıcak ve ferahlatıcı olarak sunulur.",31,20,51,6.0,Zor,Hayır,Hayır,"zor, kalabalık aileye uygun",Glütenli,Tencere
spring rolls,Vietnam Mutfağı,Hanoi,"pirinç kağıdı, sebzeler, karides (veya domuz eti), taze otlar","Taze sebze ve isteğe bağlı karides veya domuz eti, ince dilimlenir. Pirinç kağıdı ıslatılır, içine harç konur ve sıkıca sarılır. Hafifçe kızartılarak çıtır hale getirilir. Taze otlar eşliğinde servis edilir.",19,20,39,6.0,Zor,Hayır,Hayır,"zor, kalabalık aileye uygun",Glütensiz,Tencere
kimchi,Kore Mutfağı,Seoul,"napa lahanası, acı biber, sarımsak, zencefil, tuz","Napa lahanası, tuz ile marine edilir ve fermente olmaya bırakılır. Sarımsak, zencefil ve acı biber ile tatlandırılır. Fermente süreci tamamlandığında, geleneksel şekilde servis edilir. Yanında diğer Kore yemekleriyle sunulur.",30,20,50,4.0,Orta,Evet,Evet,"orta, vegan",Glütensiz,Tencere
